Customer Number,Total Wait Time,Arrival Time,Departure Time,Duration of Service,Served by Teller
45,22,30,44,8,3
47,11,32,39,4,5
50,5,35,38,2,1
41,15,28,36,7,7
49,3,33,35,1,4
28,22,19,35,6,3
43,9,28,35,2,2
48,3,33,35,1,1
35,14,24,34,4,6
39,12,27,34,5,5
46,3,31,33,1,4
42,6,28,33,1,1
25,16,17,32,1,2
44,3,29,31,1,4
37,8,25,31,2,1
21,31,13,30,14,2
31,13,22,29,6,6
38,4,26,29,1,4
40,2,27,28,1,7
34,6,24,28,2,5
22,25,14,28,11,3
30,9,22,28,3,1
33,5,24,27,2,4
36,2,25,26,1,7
24,12,16,25,3,5
32,3,22,24,1,7
29,4,21,24,1,4
19,17,10,24,3,1
27,9,17,22,4,7
26,10,17,22,5,6
23,10,15,22,3,4
20,19,11,21,9,5
14,12,9,20,1,1
15,12,10,18,4,4
11,22,6,18,10,1
18,14,10,17,7,7
13,13,8,16,5,3
17,10,10,15,5,6
10,15,4,15,4,2
8,19,2,13,8,4
16,2,10,11,1,5
12,6,7,10,3,3
6,16,1,10,7,2
9,5,4,7,2,1
7,6,2,5,3,3
4,8,0,4,4,4
5,4,1,4,1,1
2,4,0,2,2,2
1,4,0,2,2,1
3,2,0,1,1,3
