Customer Number,Total Wait Time,Arrival Time,Departure Time,Duration of Service,Served by Teller
50,47,35,80,2,2
49,46,33,78,1,1
47,49,32,77,4,2
48,44,33,76,1,1
46,45,31,75,1,3
43,48,28,74,2,1
42,46,28,73,1,3
45,50,30,72,8,2
39,49,27,71,5,3
40,45,27,71,1,1
36,45,25,69,1,1
34,45,24,67,2,1
37,42,25,65,2,3
31,48,22,64,6,1
44,35,29,63,1,2
33,40,24,62,2,3
41,40,28,61,7,2
30,40,22,59,3,3
29,37,21,57,1,1
27,42,17,55,4,3
28,42,19,55,6,1
38,28,26,53,1,2
35,31,24,51,4,2
24,37,16,50,3,3
25,32,17,48,1,1
22,43,14,46,11,3
32,25,22,46,1,2
21,47,13,46,14,1
26,32,17,44,5,2
23,26,15,38,3,2
20,32,11,34,9,3
19,27,10,34,3,2
18,28,10,31,7,1
16,21,10,30,1,2
12,24,7,28,3,2
17,19,10,24,5,3
11,28,6,24,10,2
15,17,10,23,4,1
13,15,8,18,5,3
14,10,9,18,1,1
10,16,4,16,4,1
8,19,2,13,8,2
9,10,4,12,2,3
7,12,2,11,3,1
6,15,1,9,7,3
4,11,0,7,4,1
5,4,1,4,1,2
2,4,0,2,2,2
1,4,0,2,2,1
3,2,0,1,1,3
