Customer Number,Total Wait Time,Arrival Time,Departure Time,Duration of Service,Served by Teller
47,34,32,62,4,3
49,29,33,61,1,4
48,27,33,59,1,4
50,26,35,59,2,1
44,29,29,57,1,4
43,31,28,57,2,3
45,34,30,56,8,1
41,34,28,55,7,4
38,29,26,54,1,3
37,29,25,52,2,3
46,21,31,51,1,2
28,36,19,49,6,3
42,22,28,49,1,2
39,25,27,47,5,4
36,23,25,47,1,2
40,21,27,47,1,1
33,23,24,45,2,2
35,25,24,45,4,1
26,30,17,42,5,3
25,26,17,42,1,2
34,19,24,41,2,4
24,27,16,40,3,2
32,19,22,40,1,1
31,22,22,38,6,4
30,19,22,38,3,1
22,33,14,36,11,3
21,37,13,36,14,2
29,14,21,34,1,1
20,30,11,32,9,1
27,18,17,31,4,4
23,14,15,26,3,4
18,21,10,24,7,3
19,15,10,22,3,4
16,13,10,22,1,1
17,16,10,21,5,2
14,12,9,20,1,1
15,12,10,18,4,4
11,22,6,18,10,1
13,13,8,16,5,3
10,15,4,15,4,2
8,19,2,13,8,4
12,6,7,10,3,3
6,16,1,10,7,2
9,5,4,7,2,1
7,6,2,5,3,3
4,8,0,4,4,4
5,4,1,4,1,1
2,4,0,2,2,2
1,4,0,2,2,1
3,2,0,1,1,3
