Customer Number,Total Wait Time,Arrival Time,Departure Time,Duration of Service,Served by Teller
50,19,35,52,2,4
49,18,33,50,1,3
46,20,31,50,1,1
47,21,32,49,4,4
48,16,33,48,1,3
43,22,28,48,2,1
42,19,28,46,1,5
39,24,27,46,5,3
41,24,28,45,7,1
34,22,24,44,2,5
45,22,30,44,8,4
44,16,29,44,1,2
37,19,25,42,2,2
27,28,17,41,4,5
38,15,26,40,1,3
36,15,25,39,1,2
31,22,22,38,6,3
25,21,17,37,1,2
35,17,24,37,4,1
21,37,13,36,14,5
40,9,27,35,1,4
22,32,14,35,11,2
33,11,24,33,2,4
30,13,22,32,3,1
28,18,19,31,6,3
32,9,22,30,1,4
26,16,17,28,5,4
29,8,21,28,1,1
17,21,10,26,5,1
24,11,16,24,3,3
18,20,10,23,7,2
23,10,15,22,3,4
20,19,11,21,9,5
19,13,10,20,3,3
14,12,9,20,1,1
15,12,10,18,4,4
11,22,6,18,10,1
13,13,8,16,5,3
10,15,4,15,4,2
8,19,2,13,8,4
16,2,10,11,1,5
12,6,7,10,3,3
6,16,1,10,7,2
9,5,4,7,2,1
7,6,2,5,3,3
4,8,0,4,4,4
5,4,1,4,1,1
2,4,0,2,2,2
1,4,0,2,2,1
3,2,0,1,1,3
